"","WAB.Open","WAB.High","WAB.Low","WAB.Close","WAB.Volume","WAB.Adjusted"
"1",83.989998,84.980003,83.089996,84.019997,973900,81.516739
"2",84.139999,85.57,83.879997,85.510002,1092100,82.962357
"3",85.220001,85.790001,83.879997,83.879997,540400,81.380913
"4",83.919998,85.239998,83.580002,84.559998,394000,82.040642
"5",84.559998,84.889999,83.809998,84.059998,373900,81.555534
"6",84.779999,85.989998,84.209999,85.309998,509400,82.768326
"7",85.300003,85.559998,84.5,85.290001,448000,82.748894
"8",85.160004,85.160004,83.760002,85.029999,499000,82.496643
"9",85.309998,86.419998,85.160004,85.919998,593800,83.360138
"10",85.919998,87.160004,85.760002,86.75,744800,84.165398
"11",87.029999,87.550003,86.370003,87.239998,850600,84.640808
"12",87.900002,88.160004,86.410004,86.919998,876100,84.33033
"13",86.900002,87.169998,85.730003,86.160004,598000,83.592979
"14",86.139999,86.139999,84.510002,84.650002,678600,82.127975
"15",84.970001,86.580002,84.959999,86.400002,737800,83.825844
"16",86.650002,88.699997,86.389999,88.25,795700,85.62072
"17",88.199997,88.730003,87.040001,87.129997,554100,84.534096
"18",87.279999,88.150002,87.080002,88.029999,382000,85.40728
"19",87.589996,87.75,85.709999,86.720001,691300,84.136299
"20",86.669998,86.970001,86.050003,86.639999,731700,84.05867
"21",87.209999,87.849998,86.400002,86.779999,594300,84.194496
"22",86.589996,86.989998,86.019997,86.059998,468700,83.495956
"23",86.57,87.940002,86.190002,87.580002,455000,84.970695
"24",87.099998,87.470001,86.309998,86.639999,552300,84.05867
"25",86.940002,87.879997,86.220001,86.32,456100,83.748222
"26",86.029999,86.029999,84.339996,85.32,717100,82.874023
"27",85.730003,86.519997,85.589996,86.199997,785200,83.728775
"28",86.809998,87.400002,86.07,87.300003,407900,84.797264
"29",87.440002,88.269997,87.379997,87.660004,631900,85.146942
"30",87.25,87.400002,86.510002,86.75,549400,84.263039
"31",86.75,88.620003,86.449997,88.480003,530800,85.943451
"32",88.690002,88.870003,87.57,88.050003,475000,85.525764
"33",87.529999,88.699997,86.220001,87.769997,447700,85.253784
"34",81.760002,83.949997,80.900002,82.709999,2813400,80.338852
"35",81.32,82.269997,79.860001,80.169998,1640500,77.871635
"36",80.139999,80.830002,77.790001,78.18,1267700,75.938713
"37",77.360001,79.459999,77.150002,79.449997,983100,77.172302
"38",79.650002,81.080002,79.650002,80.93,937300,78.609879
"39",80.699997,81.559998,80.089996,80.120003,1281500,77.82309
"40",79.900002,83.309998,78.660004,81.349998,1423100,79.017838
"41",80.910004,81.099998,79.919998,80.040001,1509600,77.745392
"42",80.010002,80.589996,79.120003,79.889999,1215500,77.599693
"43",78.980003,80.230003,78.980003,79.959999,1007600,77.667686
"44",79.900002,80.410004,79.339996,79.5,864400,77.220871
"45",79.639999,79.870003,79.040001,79.220001,768200,76.948914
"46",79.040001,79.410004,77.860001,78.470001,886500,76.220398
"47",79.370003,79.370003,77.080002,77.550003,1286700,75.326782
"48",77.650002,78.43,77.290001,78.269997,917000,76.026131
"49",77.620003,77.980003,76.589996,77.349998,747000,75.132507
"50",77.699997,77.949997,76.879997,77.550003,878100,75.326782
"51",78.169998,78.169998,76.75,77.220001,865400,75.006233
"52",77.32,77.669998,76.860001,77.330002,901000,75.113083
"53",77.18,77.620003,76.440002,77.269997,633000,75.05481
"54",77.610001,78.029999,75.989998,76.139999,1156900,73.957207
"55",76.050003,76.239998,75.269997,76.089996,733600,73.908623
"56",76.230003,76.540001,75.480003,75.970001,578900,73.792076
"57",76.330002,76.540001,75.790001,75.860001,636100,73.685226
"58",75,75.760002,74.059998,75.019997,1083900,72.869293
"59",74.760002,76.5,74.739998,75.809998,507000,73.63665
"60",75.690002,77.029999,75.5,76.82,601600,74.617699
"61",77.059998,77.470001,76.529999,77.260002,598600,75.04509
"62",77,78.209999,77,78,1000900,75.763885
"63",78.07,78.849998,77.519997,78.040001,1781200,75.802719
"64",78.040001,78.5,77.089996,77.339996,697800,75.122795
"65",78.410004,79.349998,77.089996,77.370003,944500,75.151939
"66",77.660004,79.059998,77.300003,79,565400,76.735207
"67",79.209999,80.470001,78.830002,80.239998,1177800,77.939644
"68",80.220001,81.790001,80.220001,81.150002,880700,78.823555
"69",81.050003,81.699997,80.470001,81.360001,733300,79.027542
"70",81.059998,81.269997,79.029999,79.669998,905100,77.385994
"71",79.510002,80.080002,78.959999,79.010002,828300,76.744926
"72",79.730003,81.010002,79.550003,80.919998,1021600,78.600159
"73",80.25,81.720001,80.25,80.699997,995900,78.386467
"74",81.059998,81.599998,80.529999,80.93,7e+05,78.609879
"75",81.620003,81.970001,81.120003,81.510002,586000,79.173225
"76",81.699997,81.760002,80.349998,81.150002,548600,78.823555
"77",82.25,83.120003,82.099998,82.190002,1099600,79.833755
"78",83.089996,85.360001,81.769997,84.379997,1134500,81.96096
"79",84.620003,87.120003,84.349998,85.949997,1432800,83.485962
"80",85.889999,86.529999,84.639999,84.639999,775000,82.213516
"81",84.879997,84.889999,83.470001,83.889999,905800,81.485031
"82",84.260002,84.349998,82.339996,82.370003,710400,80.008598
"83",82.150002,82.739998,81.720001,81.860001,944100,79.513222
"84",81.730003,82.529999,81.370003,82.419998,652000,80.057159
"85",82.449997,82.940002,81.709999,82.059998,494900,79.707481
"86",82.279999,83.370003,81.629997,83,611500,80.620514
"87",82.849998,83.160004,81.300003,82.040001,490400,79.688042
"88",82.050003,82.879997,80.830002,81.300003,675800,78.969254
"89",81.269997,82.510002,81,81.370003,730600,79.13459
"90",81.139999,81.150002,79.900002,80.639999,496500,78.424637
"91",80.419998,80.839996,79.970001,80.110001,314300,77.90921
"92",80.589996,80.910004,79.980003,80.330002,601800,78.123177
"93",80.529999,80.57,79.419998,79.93,647800,77.734154
"94",79.93,79.93,78.379997,79.330002,646700,77.150635
"95",79.019997,79.57,78.529999,79.410004,865400,77.228432
"96",79.970001,81.889999,79.629997,81.860001,652500,79.611145
"97",82.010002,82.139999,81.230003,81.75,712800,79.50415
"98",82,82.610001,81.32,82.010002,580400,79.757027
"99",82,82.150002,81.400002,81.919998,363300,79.669479
"100",82.199997,82.739998,81.940002,82.489998,594800,80.223816
"101",82.330002,82.330002,81.120003,81.25,935900,79.017891
"102",81.010002,82.559998,81.010002,82.389999,510500,80.126572
"103",82.209999,82.389999,81.169998,81.75,793100,79.50415
"104",82.360001,83.400002,81.559998,82.989998,639200,80.710091
"105",83.110001,85.050003,82.559998,84.169998,671400,81.857658
"106",83.910004,84.779999,83.730003,83.75,504300,81.449219
"107",83.339996,83.589996,82.050003,82.25,563500,79.99041
"108",82.309998,83.580002,82.279999,83.360001,562800,81.069939
"109",83.419998,85.489998,83.040001,84.889999,653100,82.557899
"110",84.830002,86.459999,84.43,86.07,597200,83.705482
"111",85.949997,87.339996,85.410004,87.309998,867200,84.911415
